SONG	confidence	% bars in 4	category	beats score	downbeats score	backup beats score	backup downbeats score	BPM	Time Signature	Genre	Metadata											
0001_12step	3.270227386	100	A	100	100	100	0	113	4|4	R&B												
0002_13stepstonowhere	1.01450852	100	A	89.78328173	51.85185185	92.87925697	81.48148148	175	4|4	Metal	Some											
0003_6foot7foot	2.058038656	100	A	45.5399061	47.16981132	53.05164319	50	84	4|4	Hip-Hop												
0004_abc	1.369028129	94.59459459	C	94.52054795	28.37837838	89.87993139	1.351351351	94	4|4	Pop-Rock	Some											
0005_again	1.521503575	0	D	0	41.97530864	97.95081967	0	78	6|8	Alternative												
0006_aint2proud2beg	2.501022482	100	A	99.03225806	98.7012987	98.86914378	0	105	4|4	R&B												
0007_allthethingsthatgo	1.677919991	86.84210526	C	98.11320755	49.57264957	97.90794979	0	152	4|4	Indie Rock	Some											
0008_america	0.8472251909	96.58119658	B	74.23312883	50.81967213	3.470715835	1.739130435	136	4|4	Metal	Some											
0009_americanmusic	2.377727107	99.19354839	B	79.22606925	77.04918033	79.67479675	77.04918033	133	4|4	Alternative	Some											
0010_andjusticeforall	1.58822733	65.33333333	C	76.43948296	35.52941176	52.65017668	6.132075472	172	6|4	Metal	Some											
0011_areyouexperienced	1.209668896	97.70114943	B	87.3015873	53.48837209	90.48991354	56.32183908	82	4|4	Classic Rock	Some											
0012_aroundtheworld	3.146591477	100	A	99.33993399	98.68421053	0	0	121	4|4	Dance/Electronic												
0013_athingaboutyou	1.687625084	98.41269841	B	96.93741678	75.93582888	84.08488064	24.46808511	152	4|4	Rock	Some											
0014_babaoriley	1.957106895	100	A	61.42384106	60.92715232	70.35507845	66.99669967	118	4|4	Classic Rock	Some											
0015_babygotback	2.571294213	100	A	98.40255591	98.71794872	98.71794872	97.43589744	129	4|4	Hip-Hop												
0016_backwoods	2.005284782	94.11764706	C	94.14634146	85.29411765	67.80487805	17.30769231	79	4|4	Country	Some											
0017_badromance	2.214817633	100	A	98.40764331	98.71794872	98.05510535	98.05194805	119	4|4	Pop												
0018_bassdownlow	2.042784551	100	A	98.89705882	98.52941176	0.1841620626	0	113	4|4	Pop												
