	trackname	mbid
0	0001_12step	0408655f-189f-371b-9c41-ec861e1a7810
1	0003_6foot7foot	83347ae2-5def-378a-a3f5-96ec56c25ab7
2	0004_abc	1068e183-db62-4f47-8f7d-15c9ce56e79a
3	0005_again	09aed1ac-4094-3337-86ef-8303531d57f1
4	0006_aint2proud2beg	09723bc0-b3e9-4f86-a563-c80d25df049e
5	0008_america	2b6a8aa9-5c1c-41fd-a7f5-a275d45987ed
6	0009_americanmusic	317e4baa-189c-38b6-b2f9-5ed18f4c583c
7	0010_andjusticeforall	2fd8aef9-ac85-46c6-8793-2895b0dd9760
8	0011_areyouexperienced	8418c5f0-3649-4cd1-972e-613be797a141
9	0012_aroundtheworld	6e87e720-67f1-35bc-923b-6e5f642610b3
10	0013_athingaboutyou	5b9ce680-adb8-4e3a-aa4c-88a4f7584317
11	0014_babaoriley	0839e6b7-c637-3208-9c55-5938c22b3d74
12	0015_babygotback	9fdde642-2f7a-3b96-87cf-cf7ab4776b0a
13	0017_badromance	0b651db4-3eb4-32bd-9b42-f00cc20d9f49
14	0018_bassdownlow	005d1e81-4a29-32e4-aa3f-021f15acedb8
15	0020_becauseofyou	02183b00-7585-4372-88bf-19e8fe451c24
16	0022_betteroffalone	3af83d6e-5eca-3253-a482-933bc0e8d609
17	0023_bewareoftheboys	41f09b9e-fce5-3be7-b960-c8478ed19f3a
18	0024_billionaire	2ff43abe-6259-371b-96b9-722d795e3157
19	0026_blackandyellow	0ac0d907-6f66-356d-9da7-8af07e5d359f
20	0027_blackened	0117b0c1-c993-485b-b362-2bb961119fce
21	0028_blackmagic	54c2d307-b218-31c6-9f79-48c97033a2bf
22	0030_bodymovin	03a279a5-a6af-4890-95ec-1f9b75e4a0dd
23	0032_boomboompow	047a96f2-2614-4563-8d9d-cfa2b5a87b45
24	0036_breakingthegirl	04782d24-d243-4177-bf85-587d7934e87e
25	0037_breakyourheart	0d60a371-7642-4e71-9cd9-0c6274e7874d
26	0038_bringmetolife	00586963-0545-3a1e-8fa9-d21ebfbdb9f6
27	0039_bulletproof	06f27478-0bad-39fc-aeb7-a19c37429515
28	0040_bustamove	3d520cf1-2ea2-4f2b-a9fc-b3b001931f57
29	0041_calabria	f498ab85-c604-3981-962a-7ef0c45ef13f
30	0042_callme	d6304759-4abd-319e-bd26-411aeaa05476
31	0043_callmemaybe	0109494f-27f0-3c93-ab22-0f11f32bf81e
32	0044_cameraeye	0dd8023b-814f-3e15-ac30-3565121ea2a4
33	0045_cantgetyou	03d94a00-8ae0-3658-a24d-6752275064b8
34	0046_castlesmadeofsand	05e475b2-db47-40fd-b730-e6c87fbe97ef
35	0048_chingaling	045ea073-07f9-43e7-9341-9e655ef895f9
36	0049_closer	04302385-54f1-3624-99e2-fc6e6940efe8
37	0050_clubcanthandleme	17d3e2f5-eb51-4344-8142-2378492473df
38	0052_collector	16f36a5e-df07-3f28-80c2-1e36a53f916d
39	0053_commander	3fee0f50-5751-349f-90dc-9e5385b6048f
40	0054_conceited	b4762a4d-b0d3-4c64-bb58-cb480093d6b1
41	0055_constantmotion	02193788-8000-3c8f-8965-127c08408418
42	0056_control	02fbedad-af74-460c-89d5-cb7114cedb9d
43	0057_crankthat	13ca419c-94d4-4c44-89d1-9326d7309924
44	0058_criticalacclaim	ec6af950-9d63-307c-8e97-63f1c3162648
45	0059_cupidshuffle	2907feb9-c3b0-4b03-94af-ba2b38e7ae93
46	0061_dabutt	9ef91e6c-f090-43db-a08b-53b2cd84d66d
47	0062_dance	07672bfb-cbea-3c91-9162-c9c2e7de9a00
48	0063_daysgoby	01133393-6f81-3475-80c4-e62a8de74fd2
49	0065_deadandbloated	00ff1ab5-7d6c-497d-832d-95d0c9609335
50	0067_deep	006981be-20e9-30f7-be75-7a47bd2c6d38
